UT,PY,DI,TI,DE,ID
WOS:001695151400001,2026,10.1016/j.conbuildmat.2026.145659,A coral-reef-inspired eco-friendly foamed cement: Towards a sustainable alternative with high strength and water resistance,Foamed magnesium oxychloride cement; Organic-inorganic hybridization; Alkali-treated straw; Carboxymethyl cellulose; Compressive strength,REMOVAL
WOS:000958257200001,2023,10.3390/ma16062443,Effects of Grinding Methods and Water-to-Binder Ratio on the Properties of Cement Mortars Blended with Biomass Ash and Ceramic Powder,corn cob ash; ceramic powder; mortar; SCM; dilution effect; water-to-binder ratio,RICE HUSK ASH; HIGH-PERFORMANCE CONCRETE; OIL FUEL ASH; FLY-ASH; PHYSICAL-PROPERTIES; WASTE; HYDRATION; ACTIVATION; METAKAOLIN; FINENESS
WOS:000763639800001,2022,10.3390/agronomy12020380,"Carbon, Nitrogen and Water Footprints of Organic Rice and Conventional Rice Production over 4 Years of Cultivation: A Case Study in the Lower North of Thailand",carbon footprint; nitrogen footprint; water footprint; soil organic carbon; rice paddy,GREENHOUSE-GAS EMISSIONS; ENERGY USE EFFICIENCY; SOIL CARBON; AGRICULTURAL SOILS; CROPPING SYSTEMS; STRAW RETURN; FOOD; SEQUESTRATION; FERTILIZER; TILLAGE
WOS:000555551000004,2020,10.1016/j.ecolind.2020.106634,"Evaluation of carbon, nitrogen footprint and primary energy demand under different rice production systems",Ground cover rice production system; Environmental impacts; Energy depletion; Ecological footprint; Life cycle assessment,LIFE-CYCLE ASSESSMENT; GREENHOUSE-GAS FLUXES; ENVIRONMENTAL IMPACTS; WATER-CONSUMPTION; LESS WATER; YIELD; MANAGEMENT; FOOD; EFFICIENCY; GRAIN
WOS:001046432300001,2023,10.3390/w15152713,Water Use in Australian Irrigated Agriculture-Sentiments of Twitter Users,consumer; cotton; dairy; rice; water footprint,ALTERED FLOW REGIMES; FOOTPRINT; MANAGEMENT; SUSTAINABILITY
WOS:000880192500003,2022,10.1016/j.jclepro.2022.134247,Comprehensive assessment of integrated rice-crayfish farming system as a new paradigm to air-water-food nexus sustainability,Rice; Crayfish; Paddy fields; Sustainable agriculture,CONSUMPTION; EMISSIONS
WOS:001072186700001,2023,10.1088/2515-7620/acfb61,A simultaneous equations approach to analyze the sustainable water-energy-food nexus in South Korea,WEF nexus; food security; EKC hypothesis; water resources; water security; energy security,ENVIRONMENTAL KUZNETS CURVE; LIFE-CYCLE ASSESSMENT; CARBON POWER-SYSTEMS; ECOLOGICAL FOOTPRINT; ELECTRICITY DEMAND; USE EFFICIENCY; CLIMATE-CHANGE; CONSUMPTION PATTERNS; CROP DIVERSITY; SOLAR POWER
WOS:000555915200208,2020,10.3390/w12051429,Water Resources Management Strategies for Irrigated Agriculture in the Indus Basin of Pakistan,Pakistan; Indus basin; water footprint; SPARE:WATER; water-saving strategies,FOOTPRINT REDUCTION; SURFACE IRRIGATION; PRODUCTIVITY; SCARCITY; REQUIREMENT; CHALLENGES; EFFICIENCY; SPRINKLER; PATTERNS; IMPACT
WOS:000818504300005,2022,10.1016/j.ecolind.2022.109083,A decoupling analysis framework for agricultural sustainability and economic development based on virtual water flow in grain exporting,Decoupling; Virtual water; Grain exports; Agricultural sustainability,RESOURCES; CONSUMPTION; FOOTPRINT; SCARCITY; CHINA
WOS:000726387200001,2021,10.3390/agronomy11101964,Soil Organic Carbon and System Environmental Footprint in Sugarcane-Based Cropping Systems Are Improved by Precision Land Leveling,precision land leveling; soil organic carbon; crop diversification; energy use pattern; environmental footprint,MANAGEMENT; TILLAGE; DIVERSIFICATION; SEQUESTRATION; NITROGEN; MATTER; CROPS
WOS:000413256900019,2017,10.1007/s13201-017-0551-3,Water-food-energy nexus index: analysis of water-energy-food nexus of crop's production system applying the indicators approach,Water; Energy; Food; Nexus; Index; Productivity; Consumption,INPUTS
WOS:000893450100001,2022,10.1088/1748-9326/aca4e5,"Spatial-temporal variations in green, blue and gray water footprints of crops: how do socioeconomic drivers influence?",water footprint; socioeconomic driving factors; logarithmic mean divisia index (LMDI); Tapio decoupling; Heilongjiang,REFERENCE EVAPOTRANSPIRATION; VARIABILITY; CLIMATE
WOS:000544258100042,2020,10.1016/j.jhydrol.2020.124881,Reducing food waste and changing cropping patterns to reduce water consumption and pollution in cereal production in Iran,Water Footprint Assessment; Water pollution; Blue water scarcity; Food waste; Cropping pattern; Food security,ANTHROPOGENIC NITROGEN; FOOTPRINT; BLUE; GREEN; SCARCITY; CROPS; GROUNDWATER; BENCHMARKS; LOSSES; IMPACT
WOS:000370491400009,2016,10.1111/gcb.13143,Agronomic improvements can make future cereal systems in South Asia far more productive and result in a lower environmental footprint,best management practices; cereal productivity; cereals systems; conservation agriculture; crop diversification; global warming potential; rice-based cropping system; South Asia,NITROUS-OXIDE EVOLUTION; INDO-GANGETIC PLAINS; RICE-WHEAT ROTATION; CONSERVATION AGRICULTURE; METHANE EMISSIONS; RAINFALL EVENTS; SOIL DRIVEN; TILLAGE; YIELD; MANAGEMENT
WOS:000774351700001,2022,10.3390/su14063494,Water-Energy-Food Nexus Approach to Assess Crop Trading in Saudi Arabia,water footprint; agricultural product; energy footprint; carbon dioxide emission; water-energy-food nexus,CHINA; POLICY; MODEL
WOS:000763114000001,2022,10.3390/land11020278,Assessment on Land-Water Resources Carrying Capacity of Countries in Central Asia from the Perspective of Self-Supplied Agricultural Products,Central Asia; food security; resource carrying capacity; agricultural land-water resources; sustainable development,CONSERVATION AGRICULTURE; CLIMATE-CHANGE; IRRIGATION; EFFICIENCY; IMPACTS; SYSTEM; MANAGEMENT; FRAMEWORK; RICE
WOS:000444625900131,2018,10.1016/j.scitotenv.2018.06.258,Greenhouse gas emissions and water footprints of typical dietary patterns in India,Sustainability; India; Greenhouse gas emissions; Water footprint; Agriculture; Dietary pattern,NUTRITION TRANSITION; FOOD-CONSUMPTION; TRENDS; CROP; DEPLETION; ADULTS; SYSTEM; BLUE
WOS:000466418300023,2019,10.1016/j.scitotenv.2019.03.304,"""More crop per drop"": Exploring India's cereal water use since 2005",Cereals; India; Water resource management; Food security; Irrigation; Cool Farm Tool,GROUNDWATER DEPLETION; FOOD-PRODUCTION; BLUE; FOOTPRINT; CLIMATE; GREEN; DIETS; SENSITIVITY; EMISSIONS; SCARCITY
WOS:000760587600001,2022,10.3390/w14030432,Crop Water-Saving Potential Based on the Stochastic Distance Function: The Case of Liaoning Province of China,stochastic frontier distance function; water footprint; water use efficiency; spatial-temporal variation characteristic,USE EFFICIENCY; IRRIGATION EFFICIENCY; RIVER-BASIN; PADDY RICE; FOOTPRINT; QUANTITY; FARMS; YIELD; WHEAT; BLUE
WOS:000875256900001,2022,10.3390/su142013649,Spatial Pattern of Water Footprints for Crop Production in Northeast China,crop water footprint; water consumption; rice; maize and soybean; grid level; Northeast China,CONSUMPTION; IMPACT; GREEN; BLUE
WOS:000513232600098,2020,10.3390/agronomy10010098,Assessment of Main Cereal Crop Trade Impacts on Water and Land Security in Iraq,cereal crops; virtual water trade; footprint; Iraq,FOOTPRINT; GREEN; BLUE; CONSUMPTION; NATIONS; FOOD
WOS:000448462700052,2018,10.3390/w10081018,Water Use and Rice Productivity for Irrigation Management Alternatives in Tanzania,Africa; deficit irrigation; food security; system of rice intensification; water conservation; water productivity,INTENSIFICATION SRI; USE EFFICIENCY; YIELD; NITROGEN; SYSTEM; GROWTH; BASIN
WOS:000522976800002,2020,10.1007/s42991-020-00021-1,Evaluating the effectiveness of footprint platforms to detect invasive mammals: coypu (Myocastor coypus) as a case study,Tracking plates; Myocastor coypus; Italy; Occupancy models; Detection,BEHAVIORAL ECOLOGY; MODEL SELECTION; HABITAT-USE; WETLAND; POPULATION; ERADICATE; RODENTIA; IMPACTS
WOS:000634808700001,2021,10.2166/ws.2021.068,"Consumptive water footprints, water use efficiencies and productivities of rice under alternate wetting and drying for Kharagpur, West Bengal, India",alternate wetting and drying; consumptive water footprint; crop water use efficiency; lysimeter; water productivity,GRAIN-YIELD; CROPPING SYSTEMS; CLIMATE-CHANGE; PADDY RICE; IRRIGATION; MANAGEMENT; BLUE; FERTILIZER; PRODUCTS; IMPACT
WOS:000720536800001,2021,10.1088/1748-9326/ac3604,Virtual nitrogen and phosphorus flow associated with interprovincial crop trade and its effect on grey water stress in China,crop trade; grey water footprint; grey water stress; nitrogen and phosphorus losses,POLLUTION LEVELS; FOOTPRINT; QUALITY; GLOBALIZATION; CALIBRATION; RESOURCES; TRANSFERS; QUANTITY; SYSTEMS; LOSSES
WOS:000620555800001,2021,10.3389/fsufs.2021.632199,Crop Production Allocations for Saving Water and Improving Calorie Supply in China,crop production allocation; blue water footprint; calorie production; multiple obecjtive optimization; provincial level,MULTIOBJECTIVE EVOLUTIONARY OPTIMIZATION; OPPORTUNITIES; CONSERVATION; RESOURCES; FOOTPRINT; ALGORITHM; SYSTEM; TRADE; REUSE
WOS:000351414900004,2015,10.1017/S0021859614000665,Carbon footprint of crop production in China: an analysis of National Statistics data,,EMISSION; TRADE; RICE
WOS:000535759400001,2019,10.3389/fsufs.2019.00105,A Climate Smartness Index (CSI) Based on Greenhouse Gas Intensity and Water Productivity: Application to Irrigated Rice,climate-smart agriculture; climate smartness index; rice; AWD; water management,NITROUS-OXIDE EMISSIONS; REDUCES METHANE EMISSION; PADDY FIELD; GRAIN-YIELD; TRIPLE-WINS; AGRICULTURE; MANAGEMENT; SUSTAINABILITY; MITIGATION; DROUGHT
WOS:000501205200306,2019,10.3390/su11216179,A Sustainability Assessment of Five Major Food Crops' Water Footprints in China from 1978 to 2010,water footprint; sustainability assessment; ecological economics; food crops; proper scale; distribution equity; allocation efficiency,RIVER-BASIN; INDICATORS; RESOURCES; FRAMEWORK; SCARCITY; EFFICIENCY; PROJECT; GROWTH; LEVEL
WOS:001400452900001,2025,10.1016/j.fcr.2025.109739,Dry direct-seeded and broadcast rice: A profitable and climate-smart alternative to puddled transplanted aus rice in Bangladesh,Tillage and crop establishment methods; Landscape positions; Climate-smart agriculture (CSA); Resource-conservation; Yield-scaled emissions,CROP ESTABLISHMENT METHODS; GREENHOUSE-GAS EMISSIONS; GANGES RIVER FLOODPLAIN; OUTPUT ENERGY ANALYSIS; METHANE EMISSION; USE EFFICIENCY; CONSERVATION AGRICULTURE; ORYZA-SATIVA; CARBON SEQUESTRATION; APRICOT PRODUCTION
WOS:001583300700001,2025,10.1016/j.plana.2025.100178,Harnessing carbon nanotubes for enhanced plant growth and sustainable agriculture: Opportunities and challenges,Sustainability; Agriculture; Carbon nanotubes; Plant growth; Gene delivery; Antimicrobial activity; Environmental stress,ANTIMICROBIAL ACTIVITY; NANOMATERIALS; MECHANISM; TOXICITY; IMPACT; RICE; EXPOSURE
WOS:001601671600001,2025,10.3390/infrastructures10100273,Optimizing Mortar Strength for Infrastructure Applications Using Rice Husk Ash and Municipal Solid Waste Incineration Ash,infrastructure development; sustainable mortar; MSWIA; rice husk ash; bottom ash; fly ash; strength performance,BOTTOM ASH; FLY-ASH; CONCRETE
WOS:001604748400006,2025,10.1007/s13201-025-02626-8,Comparative study of Acorus calamus and Cyperus alternifolius in rice husk biochar integrated constructed wetland systems for nitrogen removal,Nature-based solution; Aquatic macrophytes; Wastewater; Nitrogen mass balance; Microbial diversity,WATER
WOS:000369088600058,2015,10.3390/su71115548,Evaluation of Tourism Water Capacity in Agricultural Heritage Sites,agricultural heritage systems; sustainable tourism; tourism water footprint; tourism capacity,ECOLOGICAL KNOWLEDGE; MANAGEMENT; CONSUMPTION; FOOTPRINT
WOS:001486630800001,2025,10.3390/w17091262,Intermittent Rainfed Rice var. INIA 516 LM1: A Sustainable Alternative for the Huallaga River Basin,water footprint; irrigation schedule; pest; water productivity; sustainable water management,GREY WATER FOOTPRINT; EFFICIENCY; EVAPOTRANSPIRATION; PRODUCTIVITY; CONSUMPTION; MANAGEMENT; ADOPTION; YIELD; AREA
WOS:001523025100010,2025,10.1038/s41598-025-06858-1,"Ecological security assessment of rice production systems in arid regions: a multi-criteria assessment of Iranshahr and Saravan, Iran",Emergy analysis; Resilience; Water management; Soil degradation; Socio-ecological systems; Arid farming,SOIL QUALITY INDICATORS; FOOTPRINT ANALYSIS; DYNAMIC CHANGES; EMERGY; SUSTAINABILITY; CHINA
WOS:001638695600001,2026,10.1016/j.cemconcomp.2025.106422,How about improving the lime-hemp concrete properties using bio-based polymer additives?,Hemp concrete; Casein; kappa-carrageenan; HPMC; Hygrothermal-mechanical properties,PHYSICAL-MECHANICAL PROPERTIES; THERMAL-PROPERTIES; WATER-ABSORPTION; SURFACE TREATMENTS; BUILDING-MATERIALS; CELLULOSE ETHER; ACID CASEIN; FLAX SHIVE; RICE HUSK; MORTARS
WOS:001607761500001,2025,10.1016/j.cj.2025.06.017,Sustainable transition for cereal-based agri-food systems in China: Prospective advantages of whole-grain adoption,Agri-Food systems; Whole grains; Food transition; Food security; Emission reduction; Sustainability,CARDIOVASCULAR-DISEASE; CONSUMPTION; FIBER; RISK
WOS:001418546200001,2025,10.3390/foods14030528,Effects of Drip Irrigations with Different Irrigation Intervals and Levels on Nutritional Traits of Paddy Cultivars,paddy; irrigation interval; irrigation level; cultivar; nutritional traits,WATER-USE EFFICIENCY; PHYTIC ACID CONTENT; DROUGHT STRESS; PROXIMATE COMPOSITION; MINERAL ELEMENTS; DURUM-WHEAT; RICE; GRAIN; STARCH; L.
WOS:001595376800001,2025,10.1007/s43939-025-00267-x,A study on durability and microstructural analysis of high-strength concrete utilizing rice husk ash and non-biodegradable polyethylene,Interfacial transition zone (ITZ); OPC; Scanning electron microscopy (SEM); Rice husk ash; PET waste; Acid attack; Durability; High-strength concrete (HSC),REPLACEMENT; RESISTANCE; AGGREGATE; CEMENT; WASTE
WOS:001788808100001,2026,10.1016/j.cscm.2026.e06195,A two-stage framework for optimized carbonation curing in low-carbon cement valorizing waste biochar,Low-carbon cement; Waste biochar; Carbonation curing; CO2 sequestration; Orthogonal analysis,ACCELERATED CARBONATION; CONCRETE; PERFORMANCE; PROFILES; KINETICS; PASTE
WOS:001396623300001,2025,10.1016/j.cesys.2024.100238,Meta-analysis of yield-emission trade-off in direct seeded vs. puddled transplanted rice: Towards a cleaner and sustainable production,Mitigation; Carbon footprints; Direct seeded rice; Global warming potential; Puddled transplanted rice; Sustainability; Yield-emission trade-off,NITROUS-OXIDE EMISSIONS; METHANE EMISSION; FLOODED RICE; CONSERVATION AGRICULTURE; PADDY FIELDS; NO-TILLAGE; MANAGEMENT; SOILS; PERFORMANCE; CONVERSION
WOS:001001047400001,2023,10.1016/j.eti.2023.103184,A novel approach of utilizing the waste biomass in the magnetizing roasting for recovery of iron from goethitic iron ore,Biomass and biochar; Carbon -neutrality; Circular economy; Magnetizing roasting; Environment protection,CHEMICAL-CHARACTERIZATION; ENERGY-RESOURCES; REDUCTION; BENEFICIATION; EXTRACTION; TAILINGS; BEHAVIOR; COAL
WOS:000432102500016,2018,10.1016/j.jclepro.2018.03.202,Comparison of alkali and silica sources in one-part alkali-activated blast furnace slag mortar,Alkali activation; Blast furnace slag; Geopolymer; Microsilica; Rice husk ash,RICE HUSK ASH; FLY-ASH; WASTE GLASS; SODIUM-SILICATE; METAKAOLIN; STRENGTH; DURABILITY; EVOLUTION; CONCRETE; BEHAVIOR
WOS:001323781200001,2024,10.3390/soilsystems8030080,Coastal Salinity Management and Cropping System Intensification through Conservation Agriculture in the Ganges Delta,coastal region; cropping system; economics; irrigation; salinity; water footprint,SUSTAINABLE INTENSIFICATION; CARBON FRACTIONS; POOLS
WOS:001234436400001,2024,10.1016/j.isci.2024.109630,"Microplastic and adhesive free, multifunctional, circular economy approach-based biomass-derived drinking straws",,RICE STRAW; KINETICS
WOS:001372544400015,2024,10.1038/s41598-024-80808-1,"Menvironmental impacts of crop production systems in subtropical plateau regions: case study of Yunnan, China",Environmental impact; Life cycle assessment; Plateau region; Subtropics,NITROGEN USE EFFICIENCY; NUTRIENT USE EFFICIENCY; LIFE-CYCLE ASSESSMENT; SUSTAINABLE INTENSIFICATION; ECONOMIC-BENEFITS; WHEAT PRODUCTION; GRAIN-YIELD; MAIZE; RICE; FOOD
WOS:000944625100001,2023,10.1016/j.jclepro.2023.136249,"Resource use efficiencies, environmental footprints and net ecosystem economic benefit of direct-seeded double-season rice in central China",Carbon footprint; Direct seeding; Economic benefit; Nitrogen footprint; Resource use efficiency,NITROGEN; SYSTEMS; N2O; CHALLENGES; WATER; STRATEGIES; EMISSIONS; TILLAGE
WOS:000966235000001,2023,10.1016/j.conbuildmat.2023.130770,Hygrothermal properties of insulation materials from rice straw and natural binders for buildings,Thermal insulation; Hygric properties; Rice straw; Natural binder,ACOUSTICAL CHARACTERIZATIONS; PARAMETERS; COMPOSITE
WOS:001155989400001,2024,10.2166/ws.2024.016,The role of Kampar watershed in achieving sufficient rice production and sustaining agriculture,gray water; Riau province; rice farming; water footprint; water usage,CLIMATE-CHANGE; PROTECTED AREAS; IMPACTS
WOS:001077126900001,2023,10.3389/fphar.2023.1243961,"The in vitro effects of black soldier fly larvae (Hermitia illucens) oil as a high-functional active ingredient for inhibiting hyaluronidase, anti-oxidation benefits, whitening, and UVB protection",Hermitia illucens; black soldier fly; oil; anti-oxidation; whitening; hyaluronidase inhibition; UV protection; cosmetic application,LINOLEIC-ACID; FATTY-ACIDS; HERMETIA-ILLUCENS; EXTRACT; LIPIDS; INSECTS; STABILITY; LECITHINS; PROTEINS
WOS:000646268400040,2021,10.1017/S1368980020003729,"Designing a healthy, low-cost and environmentally sustainable food basket: an optimisation study",Sustainable diets; Food consumption; Environmental impact; Iran,GREENHOUSE-GAS EMISSIONS; NUTRIENT DENSITY; ENERGY DENSITY; DIETS; CONSUMPTION
WOS:001145204100001,2023,10.3390/ma16186105,Assessment of Wood Bio-Concrete Properties Modified with Silane-Siloxane,wood bio-concrete; silane-siloxane; bio-aggregates; water absorption; durability,
WOS:000797805700001,2022,10.3389/fpls.2022.895402,Shifting Rice Cropping Systems Mitigates Ecological Footprints and Enhances Grain Yield in Central China,double rice; conversion; ratoon rice; rice-wheat; carbon footprint; nitrogen footprint; water footprint,NITROGEN FOOTPRINT; CARBON FOOTPRINT; WATER FOOTPRINT; PRODUCTIVITY; EFFICIENCY
WOS:000608686200004,2021,10.1016/j.ceramint.2020.10.059,Evaluation of locally available amorphous waste materials as a source for alternative alkali activators,Alkali-activated materials; Alternative activators; Waste glass; Waste mineral wool; Cathode-ray tube glass; Solubility,RICE HUSK ASH; SODIUM-SILICATE; GLASS POWDER; GEOPOLYMER; CEMENT; MICROSTRUCTURE; DISSOLUTION; STRENGTH; SLAG
WOS:000692553100001,2021,10.3389/fpls.2021.684205,Breeding Driven Enrichment of Genetic Variation for Key Yield Components and Grain Starch Content Under Drought Stress in Winter Wheat,breeding progress; drought; GWAS; LD block; MTAs; QTL; yield components,GROWTH-STAGES; HEAT-STRESS; TOLERANCE; ADAPTATION; QUALITY; TRAITS; RICE; RESISTANCE; MECHANISMS; SELECTION
WOS:001025426300006,2023,10.30638/eemj.2023.036,GREEN SYNTHESIS OF SI-NPS FROM RICE AND WHEAT HUSK AND THEIR APPLICATIONS IN NANOCOMPOSITE SHEETS,agricultural waste; bio-nanocomposite sheets; casting; mechanical properties; water absorption capacity,SILICA NANOPARTICLES; BIOMASS; WASTE; ASH
WOS:000721004700058,2021,10.1017/S136898002100402X,Association between the socio-economic status of households and a more sustainable diet,Socio-economic status; Sustainable diet; Environmental impact; Food choice; Iran,NUTRITION TRANSITION; FOOD SECURITY; CONSUMPTION; AVAILABILITY; CHOICES; TRENDS; BLUE
WOS:000518042000284,2019,10.3390/app9245549,The Influence of Thermo-Mechanical Activation of Bentonite on the Mechanical and Durability Performance of Concrete,bentonite; compressive strength; sorptivity; acid attack resistance; durability of concrete; eco-efficient binder; low-cost binder,RICE HUSK ASH; FLY-ASH; POZZOLANIC ACTIVITY; RECYCLED CONCRETE; THERMAL-TREATMENT; HIGH-VOLUME; REACTIVITY; STRENGTH; MONTMORILLONITE; KINETICS
WOS:000867243200001,2022,10.3390/rs14195022,Spatial Representativeness of Eddy Covariance Measurements in a Coniferous Plantation Mixed with Cropland in Southeastern China,eddy covariance; spatial representativeness; footprint climatology; fraction of target vegetation type (FTVT); sensor location bias; subtropical coniferous plantation,GROSS PRIMARY PRODUCTION; NET ECOSYSTEM EXCHANGE; CARBON-DIOXIDE; CHLOROPHYLL FLUORESCENCE; WATER-VAPOR; FLUX MEASUREMENTS; SONIC ANEMOMETER; ENERGY FLUXES; NORTH CHINA; EVAPOTRANSPIRATION
WOS:000870697000010,2022,10.18520/cs/v123/i7/881-886,"Estimation and comparison of energy input-output and efficiency indices for rice-wheat agroecosystems of Doon Valley, India",Agriculture; energy productivity; efficiency indices; global warming; rice-wheat system,CROPPING SYSTEMS; GHG EMISSIONS; CONSUMPTION; PATTERN
WOS:000726939200001,2021,10.3390/su132111633,Evolution of the Global Scientific Research on the Environmental Impact of Food Production from 1970 to 2020,environmental analysis; food production; bibliometric study; citation number; authors; affiliations; Scopus,CLIMATE-CHANGE VULNERABILITY; CARBON FOOTPRINT; BIBLIOMETRIC ANALYSIS; IMPLEMENTATION; QUALITY; WHEAT
WOS:000638910400001,2021,10.3390/su13073951,Lifecycle Assessment of Monosodium Glutamate Made from Non-Edible Biomass,lifecycle assessment; monosodium glutamate; carbon footprints; water scarcity footprints; air pollution footprints,
WOS:000524899603014,2020,10.3390/su12031180,Sustainable Irrigation Management in Paddy Rice Agriculture: A Comparative Case Study of Karangasem Indonesia and Kunisaki Japan ocr,sustainable irrigated agriculture; irrigation efficiency; social capital; traditional agriculture; GIAHS; sustainable water resource management; water footprint,WATER; LANDSCAPE; SATOYAMA; TEMPLE
WOS:000362511200027,2015,10.1371/journal.pone.0140023,Exploiting Co-Benefits of Increased Rice Production and Reduced Greenhouse Gas Emission through Optimized Crop and Soil Management,,NITROGEN-FERTILIZER APPLICATION; IRRIGATED RICE; NUTRIENT MANAGEMENT; USE EFFICIENCY; ENVIRONMENTAL-QUALITY; METHANE EMISSION; FOOD SECURITY; PADDY FIELDS; YIELD GAPS; GRAIN
WOS:001503071000002,2025,10.1038/s41598-025-02896-x,"Irrigation and primary nutrients' performance on winter maize productivity, profitability, energetics, and carbon footprint in Gangetic plains of India",Carbon footprint; Depletion of available soil moisture; Energetics; Irrigation; Maize productivity and profitability; Primary nutrients,WATER-USE EFFICIENCY; ENERGY USE; PRODUCTION SYSTEMS; ECONOMIC-ANALYSIS; NITROGEN; YIELD; CONSERVATION; AGRICULTURE; MANAGEMENT; NUTRITION
WOS:001409626500004,2025,10.1038/s41467-025-56022-6,Deepening water scarcity in breadbasket nations,,FOOD; FOOTPRINT; REVEALS
WOS:001047450000001,2023,10.1016/j.jia.2022.12.005,The potential of green manure to increase soil carbon sequestration and reduce the yield-scaled carbon footprint of rice production in southern China,green manure; paddy soil; soil carbon sequestration; carbon footprint,WINTER COVER CROP; ORGANIC-CARBON; GAS EMISSIONS; PADDY SOIL; MILK VETCH; CULTIVATION; METHANE; N2O; CH4; MANAGEMENT
WOS:001315299800001,2024,10.1016/j.energy.2024.133131,"Impact of conservation agriculture and weed management on carbon footprint, energy efficiency, and sustainability in maize-wheat cropping systems",Conventional tillage; Crop rotation; GHGs emission; Energy utilization; Environmental pollution; Soil organic carbon,WATER-USE EFFICIENCY; CLAY LOAM SOIL; GANGETIC PLAINS; YIELD TRENDS; RICE; TILLAGE; PRODUCTIVITY; EMISSIONS; SEQUESTRATION; TECHNOLOGIES
WOS:000949320200001,2023,10.1002/jsfa.12524,Land footprint and GHG emissions from global food loss,agricultural land use; cropland area; climate change; food loss; food security; sustainable development,ENVIRONMENTAL IMPACTS; LOSS REDUCTION; WASTE; SUSTAINABILITY; WATER; DEFORESTATION; AGRICULTURE; RESOURCES; CROPLAND; OPTIONS
WOS:001419256200001,2025,10.3390/w17030288,A Study on the Characteristics and Influencing Factors of the Global Grain Virtual Water Trade Network,virtual water; grain trade; social network analysis; QAP regression analysis,FOOTPRINT
WOS:001588617900001,2025,10.1038/s43016-025-01231-x,Global spatially explicit crop water consumption shows an overall increase of 9% for 46 agricultural crops from 2010 to 2020,,FRESH-WATER; FOOD; FOOTPRINT; GREEN; BLUE
WOS:001458791700001,2025,10.1016/j.agwat.2025.109456,Resilience assessment of interprovincial crop virtual water flow network in China,Complex network; Topological structure; Shock simulation; Vulnerability; Water footprint,CLIMATE-CHANGE; TRADE; FOOD; EVOLUTION; FOOTPRINT; TRANSFERS; PRINCIPLES; RESOURCES; SYSTEMS; GREEN
WOS:001762757500001,2026,10.1016/j.indcrop.2026.123384,Valorization of rice straw into high-purity lactic acid with reduced enzyme cost and waste footprint,Rice straw; Lignocellulosic biomass; Lactic acid; Simultaneous Saccharification and Fermentation; Ion exchange resin; Biorefinery integration,SIMULTANEOUS SACCHARIFICATION; FERMENTATION; RECOVERY; TEMPERATURE; HYDROLYSIS; SEPARATION; ADSORPTION; BAGASSE; WATER
WOS:001014197400001,2023,10.3390/c9020037,Replacing Lime with Rice Husk Ash to Reduce Carbon Footprint of Bituminous Mixtures,sustainability; carbon footprint; rice husk ash; lime; silica; asphalt; concrete; roadways,HOT MIX ASPHALT; FLY-ASH; FILLERS; AGGREGATE; BITUMEN
WOS:001481590000001,2025,10.3389/fsufs.2025.1359281,"Impact of nine years of conservation tillage and precise nutrient management on equivalent yields, soil microbial dynamics, and water-energy footprints of the maize-mustard rotation",conservation tillage; soil microbial dynamics; nutrient expert-system; water-energy footprints; equivalent yields,TERM NO-TILL; CROPPING SYSTEM; WHEAT SYSTEM; AGRICULTURE; PRODUCTIVITY; QUALITY; BIOMASS; RICE; FERTILIZATION; PROFITABILITY
WOS:001456323300004,2025,10.2166/wcc.2025.581,"Effects of crop planting structure optimization on water-saving, environmental, and economic multibenefits in Northeast China",planting structure optimization; water footprint; water pollution; water scarcity; water use benefit; water use efficiency,FOOTPRINT; SUSTAINABILITY; SECURITY; RESOURCE; SCARCITY; PROVINCE
WOS:001565562200002,2025,10.1016/j.nexus.2025.100509,Achieving environmental stewardship through climate-smart agriculture practices in intensive cereal systems of North-western India: Effects on energy-water-carbon footprints,Climate-smart agriculture; Environmental sustainability; Energy use efficiency; Energy-water-nitrogen footprints; Global warming potential; Subsurface drip irrigation,LONG-TERM IMPACT; MAIZE ZEA-MAYS; CONSERVATION AGRICULTURE; ORGANIC-CARBON; DRIP IRRIGATION; YIELD; WHEAT; SOIL; PRODUCTIVITY; FERTIGATION
WOS:001339016200001,2024,10.1016/j.agwat.2024.109110,Enhancing agricultural sustainability with water and crop management strategies in modern irrigation and drainage networks,Water footprint; Drip irrigation; Mulching; Sustainable blue water; Yield gap,AQUACROP MODEL; WINTER-WHEAT; FOOTPRINT REDUCTION; DEFICIT IRRIGATION; RICE PRODUCTION; USE EFFICIENCY; PRODUCTIVITY; YIELD; OPTIMIZATION; GREEN
WOS:001287045500001,2024,10.3390/w16152077,Crop Water Use and a Gravity Model Exploration of Virtual Water Trade in Ghana's Cereal Agriculture,cereals; crop water use; gravity model; virtual water; water footprint; Ghana,FLOWS; GREEN
WOS:001669218400001,2026,10.1016/j.jia.2024.07.025,Exploring strategies for agricultural sustainability in super hybrid rice using the food-carbon-nitrogen-water-energy-profit nexus framework,super hybrid rice; ecological footprint; rice production; integrated crop management; sustainability,GREENHOUSE-GAS EMISSIONS; GRAIN-YIELD; MANAGEMENT; FERTILIZER; EFFICIENCY; FOOTPRINT; CHINA
